Polling Station No,Candidate_1,R .OGNALE,S .AYNAGUS,K .RAMUKAVLES,S .NERAN,MUGEB AYISA,P .NAYEKIHTRAK,R .LEVIHTKAS,GA .IVAR,G .INAMUSARA,M .NAGALAVIRA,M .NASERIHTAK,T .USARAYIVAK,S .HTNANABURIK,P .NASARABMALIS,T .MAGNILAVIS,R .AYIMWOS,M .NASARALIMAT,P .NAJARATAN,RAMUKARDNERAN G .,V .UHTUMIHCTAN,S .NEEVARP,S .YHTAPOOB,T .NADNAKINAM,P .NAGALAYIHTAM,R .NASEGURUM,K .RAMUKNAHOM,S .IHTAPUGAR,V .MAGNILAMAR,N .NARAKESAJAR,N .NARADNEJAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
1,1,304,2,327,24,0,208,0,0,0,0,0,0,1,0,2,1,8,2,2,0,1,0,0,1,0,2,1,0,0,0,886,0,2,888,0
2,2,262,3,308,15,1,160,2,0,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,761,0,1,762,0
3,3,234,0,218,7,0,98,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,561,0
4,4,275,1,271,20,0,138,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,712,0,3,715,0
5,5,161,1,248,9,2,112,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,1,1,0,0,0,0,0,0,1,543,0,1,544,0
6,6,391,1,347,20,6,204,1,3,1,0,0,0,2,0,0,2,0,1,0,0,0,1,2,0,0,0,1,1,0,1,985,0,2,987,0
7,7,293,1,348,28,2,148,1,1,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,830,0,0,830,0
8,8,269,3,325,15,0,176,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,794,0,1,795,0
9,9,196,1,132,10,0,61,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,404,0,2,406,0
10,10,183,1,289,25,0,179,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,683,0,3,686,0
11,11,193,4,266,22,0,167,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,1,0,0,0,1,0,0,1,0,661,0,2,663,0
12,12,113,0,183,15,0,160,1,7,0,1,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,488,0,1,489,0
13,13,188,1,164,19,0,145,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,522,0,4,526,0
14,14,119,0,193,17,0,133,0,2,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,471,0,2,473,0
15,15,234,1,218,23,0,229,0,9,0,0,0,0,1,0,1,1,2,3,1,1,0,0,1,0,0,0,0,0,0,1,726,0,1,727,0
16,16,230,1,352,26,0,131,0,0,0,0,0,0,0,0,1,4,1,0,0,1,1,1,1,1,0,0,0,1,1,1,754,0,5,759,0
17,17,233,3,364,26,0,148,0,0,0,0,0,0,1,1,0,3,0,1,2,0,0,1,0,0,0,0,1,0,0,0,784,0,1,785,0
18,18,264,3,407,14,2,143,0,0,1,0,0,0,1,0,1,3,2,1,0,0,0,0,1,0,0,0,0,1,1,1,846,0,5,851,0
19,19,175,3,270,34,1,195,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,0,0,0,0,0,0,0,1,686,0,1,687,0
20,20,284,3,283,31,0,338,1,0,2,0,0,0,1,0,0,3,1,5,2,0,0,6,2,1,0,1,0,0,0,1,965,0,1,966,0
21,21,246,4,254,19,1,199,0,5,0,2,0,0,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,739,0,2,741,0
22,22,173,5,428,26,1,203,0,8,2,0,0,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,854,0,2,856,0
23,23,395,1,327,15,3,295,0,3,1,0,0,2,1,2,1,0,4,1,1,1,0,0,1,0,0,0,0,0,1,0,1055,0,2,1057,0
24,24,126,1,59,21,1,225,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,439,0,0,439,0
25,25,194,2,136,11,0,157,1,6,0,0,0,0,0,1,1,3,1,3,0,0,0,1,0,0,0,0,0,0,1,0,518,0,0,518,0
26,26,158,2,288,10,3,148,0,1,0,0,0,0,0,0,0,1,0,3,2,3,0,2,1,0,0,0,0,0,2,0,624,0,1,625,0
27,27,196,0,72,14,1,163,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,457,0,0,457,0
28,28,283,4,344,24,3,324,0,1,0,0,1,1,0,0,0,0,2,5,1,2,0,0,1,2,0,0,0,0,0,0,998,0,2,1000,0
29,29,277,6,203,28,0,288,0,17,0,0,0,0,0,1,1,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,827,0,5,832,0
30,30,197,1,189,20,0,266,1,0,0,0,0,1,0,0,0,1,4,3,1,0,0,2,0,0,1,0,0,1,0,1,689,0,2,691,0
31,31,227,2,417,33,0,227,1,1,1,1,1,1,0,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,919,0,4,923,0
32,32,240,2,272,32,1,184,0,22,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,760,0,5,765,0
33,33,153,0,147,10,0,134,0,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,2,453,0
34,34,290,0,210,30,0,361,0,6,0,0,0,0,0,1,1,1,0,3,2,0,0,3,0,0,0,0,0,0,0,0,908,0,5,913,0
35,35,223,1,255,23,0,211,0,1,0,0,1,0,0,1,1,2,2,1,1,1,0,0,0,1,0,1,0,1,0,0,727,0,2,729,0
36,36,180,1,182,28,1,170,2,5,0,0,1,1,1,0,1,4,1,5,0,1,0,0,0,0,0,0,0,0,0,0,584,0,2,586,0
37,37,105,0,107,7,0,104,0,1,0,0,1,0,0,0,0,3,1,2,0,0,0,2,0,0,1,0,0,0,0,0,334,0,0,334,0
38,38,163,1,258,19,1,244,1,0,0,0,0,0,0,0,3,2,5,3,1,1,1,1,0,0,1,0,0,0,0,1,706,0,4,710,0
39,39,258,2,111,40,1,178,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,4,603,0
40,40,220,1,123,26,0,233,2,10,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,621,0,5,626,0
41,41,356,0,171,45,1,384,0,10,0,0,0,0,1,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,974,0,2,976,0
42,42,218,0,164,40,0,359,1,2,0,0,0,0,0,1,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,792,0,3,795,0
43,43,303,1,108,23,1,416,2,5,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,866,0,3,869,0
44,44,216,0,129,15,1,207,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,572,0,3,575,0
45,45,198,0,115,26,0,221,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,563,0,0,563,0
46,46,224,1,136,29,0,291,1,3,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,691,0,4,695,0
47,47,229,0,211,38,2,234,0,4,0,1,0,0,0,0,0,1,3,4,0,1,0,0,1,0,0,0,0,0,0,0,729,0,8,737,0
48,48,275,1,198,26,0,262,1,0,0,0,0,0,0,0,0,2,2,0,3,0,0,1,0,0,0,1,0,1,0,0,773,0,3,776,0
49,49,189,3,204,20,1,172,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595,0,6,601,0
50,50,285,1,307,42,0,312,0,9,0,0,1,0,1,1,0,3,2,3,4,1,0,1,0,0,0,0,0,0,0,1,974,0,5,979,0
51,51,227,2,303,19,0,240,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,800,0,3,803,0
52,52,187,3,129,26,2,261,0,1,0,0,1,0,0,0,1,0,2,1,0,0,1,3,1,0,0,0,0,0,0,0,619,0,1,620,0
53,53,123,1,128,13,3,180,0,2,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,458,0,1,459,0
54,54,236,2,123,8,4,205,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,584,0,1,585,0
55,55,221,2,131,21,0,298,0,4,0,1,0,0,0,0,0,2,3,0,1,1,0,1,2,0,0,0,0,0,0,0,688,0,2,690,0
56,56,110,1,100,10,0,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,1,363,0
57,57,238,2,197,23,1,324,0,1,0,0,0,1,0,2,0,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,797,0,6,803,0
58,58,179,0,112,24,1,264,0,2,0,0,0,0,0,1,0,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,590,0,3,593,0
59,59,262,2,130,16,0,283,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,695,0
60,60,234,1,121,22,2,380,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,6,2,0,0,1,0,0,2,0,778,0,2,780,0
61,61,304,1,160,36,1,388,0,5,0,0,2,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,904,0,9,913,0
62,62,237,1,120,24,1,231,1,0,0,1,1,0,0,0,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,625,0,4,629,0
63,63,202,4,175,22,3,372,0,0,0,1,1,0,0,2,0,0,2,0,3,0,0,1,0,1,1,0,0,0,2,1,793,0,2,795,0
64,64,205,1,127,12,1,253,0,1,1,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,607,0,3,610,0
65,65,143,0,72,11,0,166,2,0,0,1,1,0,0,0,1,0,2,2,0,0,0,9,0,2,0,1,0,0,2,0,415,0,1,416,0
66,66,271,0,167,28,2,384,1,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,860,0,5,865,0
67,67,159,4,161,31,0,257,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,2,0,621,0,1,622,0
68,68,130,2,200,14,0,303,0,0,0,0,1,1,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,659,0,3,662,0
69,69,200,1,251,27,2,276,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,764,0,2,766,0
70,70,198,1,284,36,4,253,1,2,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,787,0,1,788,0
71,71,159,0,194,17,0,201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,574,0,0,574,0
72,72,135,0,139,11,0,190,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,477,0,5,482,0
73,73,242,0,346,10,0,168,1,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,776,0,5,781,0
74,74,191,3,447,11,0,198,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,857,0,8,865,0
75,75,298,0,109,32,2,261,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,712,0,4,716,0
76,76,336,0,75,33,2,290,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,742,0,3,745,0
77,77,249,4,383,22,1,287,1,3,0,0,0,1,2,2,0,2,5,1,1,0,0,1,1,0,0,1,0,1,1,0,969,0,4,973,0
78,78,151,0,119,16,0,199,0,14,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,505,0,1,506,0
79,79,160,2,222,30,0,202,1,15,2,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,640,0,2,642,0
80,80,185,1,85,30,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,6,506,0
81,81,207,0,106,33,1,254,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,603,0,2,605,0
82,82,148,1,109,24,0,160,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,449,0,1,450,0
83,83,146,1,84,13,1,310,1,4,0,3,0,1,0,0,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,571,0,2,573,0
84,84,131,1,204,14,1,164,0,4,1,0,0,1,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,527,0,0,527,0
85,85,84,0,293,13,1,167,0,3,0,0,1,1,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,569,0,3,572,0
86,86,213,2,292,27,0,264,0,1,0,0,0,1,0,0,2,1,0,3,2,1,0,0,1,0,0,0,0,0,0,0,810,0,6,816,0
87,87,95,0,155,28,2,249,1,3,0,0,0,0,0,0,0,5,2,0,2,1,0,2,0,1,0,0,0,0,0,0,546,0,1,547,0
88,88,115,1,151,15,2,259,1,2,0,0,0,0,0,1,0,1,0,0,0,1,1,4,2,1,0,0,1,0,0,0,558,0,1,559,0
89,89,99,1,226,19,0,97,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,448,0,2,450,0
90,90,399,0,249,26,0,236,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,1,0,920,0,2,922,0
91,91,222,2,284,18,1,229,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,763,0,4,767,0
92,92,148,0,115,26,1,216,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,514,0,1,515,0
93,93,138,1,196,18,1,164,1,0,0,0,0,1,2,1,0,1,3,3,1,0,1,1,0,0,0,0,0,0,1,0,534,0,6,540,0
94,94,141,2,183,10,1,201,2,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,548,0,1,549,0
95,95,128,1,257,22,1,117,1,3,0,0,0,0,1,1,0,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,540,0,4,544,0
96,96,161,4,161,18,4,203,1,0,0,0,0,3,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,564,0,1,565,0
97,97,226,2,330,12,1,195,0,2,0,0,0,0,1,2,4,2,4,0,2,0,0,3,0,0,0,0,0,0,0,1,787,0,0,787,0
98,98,236,3,291,24,2,331,1,2,0,2,2,0,0,1,1,7,0,3,0,0,0,1,0,1,1,0,0,0,0,0,909,0,8,917,0
99,99,153,1,220,15,1,141,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,536,0,3,539,0
100,100,217,1,267,22,1,137,0,4,0,1,1,0,1,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,658,0,0,658,0
101,101,150,0,121,9,0,128,1,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,415,0,1,416,0
102,102,97,0,181,14,0,80,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,374,0,1,375,0
103,103,219,1,193,15,1,255,0,4,0,0,0,0,0,0,1,4,0,1,0,1,0,3,0,0,0,0,0,1,0,0,699,0,2,701,0
104,104,257,1,190,47,0,335,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,840,0,3,843,0
105,105,262,2,265,35,1,291,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,863,0,5,868,0
106,106,262,0,314,24,0,230,1,3,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,842,0,4,846,0
107,107,244,1,218,13,0,212,0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2,2,1,702,0,3,705,0
108,108,113,0,154,9,2,55,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,337,0,1,338,0
109,109,199,2,216,8,0,176,0,3,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,611,0,1,612,0
110,110,199,0,213,1,1,155,0,1,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,579,0,3,582,0
